topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
5	97	ux-designer		UX Designer	Améliorez l'expérience de vos utilisateurs en concevant des produits à la fois agréables et ergonomiques !	fr	Certification OpenClassrooms	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/DESIGN_UX.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/97-ux-designer	
6	594	integrateur-web		Intégrateur Web	Faites vos premiers pas dans le monde du développement web en apprenant à créer des sites avec React !	fr	Diplôme de niveau 5 (bac +2)	9	0		https://oc-static.imgix.net/prod/images/paths/illustrations/594/16564339214407_DEV_Web_Int_web%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/594-integrateur-web	https://www.francecompetences.fr/recherche/rncp/36076
6	595	developpeur-wordpress		Développeur WordPress	Faites vos premiers pas dans le monde du développement web en apprenant à créer des sites WordPress !	fr	Diplôme de niveau 5 (bac +2)	9	0		https://oc-static.imgix.net/prod/images/paths/illustrations/595/16564339061783_DEV_Web_wordpress%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/595-developpeur-wordpress	https://www.francecompetences.fr/recherche/rncp/36076
6	717	developpeur-web		Développeur Web	Maitrisez le développement web et créez des sites web de A à Z !	fr	Diplôme de niveau 5 (bac +2)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/717/1665498734844_16377657289479_WEB_DEV_JR%20%281%29.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/717-developpeur-web	https://www.francecompetences.fr/recherche/rncp/36076
6	500	developpeur-dapplication-php-symfony		Développeur d'application - PHP/Symfony	Devenez développeur et constituez votre portfolio en réalisant des applications avec PHP.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/500/1633354415972_DEV_SYMPHONY.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/500-developpeur-dapplication-php-symfony	https://www.francecompetences.fr/recherche/rncp/35976/
6	501	developpeur-dapplication-ios		Développeur d'application - iOS	Découvrez le développement iOS et réalisez des applications taillées pour l'iPhone et l'iPad !	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/501/16333570719518_15598102134014_DEV_IOS_full%202.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/501-developpeur-dapplication-ios	https://www.francecompetences.fr/recherche/rncp/35976/
6	511	developpeur-dapplication-android		Développeur d'application - Android	Devenez développeur et réalisez vos applications pour Android.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/511/1633355843668_DEV_Android.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/511-developpeur-dapplication-android	https://www.francecompetences.fr/recherche/rncp/35976/
6	512	developpeur-salesforce		Développeur Salesforce	Préparez votre certification de développeur Salesforce et codez en Apex pour construire des applications.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/512/16333575663709_15578465869342_Salesforce.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/512-developpeur-salesforce	https://www.francecompetences.fr/recherche/rncp/35976/
6	513	developpeur-dapplication-java		Développeur d'application - Java	Devenez développeur d'applications avec Java, l'un des langages les plus utilisés au monde.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/513/16333565719202_15713865751072_DEV_JAVA.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/513-developpeur-dapplication-java	https://www.francecompetences.fr/recherche/rncp/35976/
6	516	developpeur-dapplication-javascript-react		Développeur d'application - JavaScript React	Réalisez des projets web de A à Z et spécialisez-vous dans l'optimisation des interfaces de vos sites.	fr	Diplôme de niveau 6 (bac +3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/516/16333559956358_15984530917194_15435992831411_path61.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/516-developpeur-dapplication-javascript-react	https://www.francecompetences.fr/recherche/rncp/35976/
