course_id	part_number	chapter_id	chapter_number	chapter_name	chapter_title	chapter_description	chapter_url
5737801	2	5890468	3	stockez-et-utilisez-du-contenu	Stockez et utilisez du contenu		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890468-stockez-et-utilisez-du-contenu
5737801	3	5890471	1	choisissez-le-logiciel-repondant-a-vos-besoins	Choisissez le logiciel répondant à vos besoins		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890471-choisissez-le-logiciel-repondant-a-vos-besoins
5737801	3	5890472	2	manipulez-un-programme	Manipulez un programme		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890472-manipulez-un-programme
5737801	3	5890473	3	decodez-les-elements-cles-dun-logiciel	Décodez les éléments clés d'un logiciel		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/5890473-decodez-les-elements-cles-dun-logiciel
5737801	3	6734736	4	entrainez-vous-en-modifiant-un-fichier-texte-pour-creer-un-menu	Entraînez-vous en modifiant un fichier texte pour créer un menu		https://openclassrooms.com/fr/courses/5737801-faites-vos-premiers-pas-sur-ordinateur/6734736-entrainez-vous-en-modifiant-un-fichier-texte-pour-creer-un-menu
5870011	1	5870018	1	que-trouve-t-on-sur-internet	Que trouve-t-on sur Internet ?		https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet/5870018-que-trouve-t-on-sur-internet
5870011	1	6006651	2	accedez-a-un-site-internet	Accédez à un site internet		https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet/6006651-accedez-a-un-site-internet
5870011	1	6006711	3	utilisez-les-fonctionnalites-de-votre-navigateur	Utilisez les fonctionnalités de votre navigateur		https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet/6006711-utilisez-les-fonctionnalites-de-votre-navigateur
5870011	1	6006766	4	reperez-vous-sur-les-differents-sites-internet	Repérez-vous sur les différents sites internet		https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet/6006766-reperez-vous-sur-les-differents-sites-internet
5870011	2	6007156	1	faites-une-premiere-recherche	Faites une première recherche		https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet/6007156-faites-une-premiere-recherche
5870011	2	6007281	2	utilisez-les-criteres-de-recherche-avancee	Utilisez les critères de recherche avancée		https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet/6007281-utilisez-les-criteres-de-recherche-avancee
5870011	2	6007331	3	controlez-l-information-trouvee	Contrôlez l’information trouvée		https://openclassrooms.com/fr/courses/5870011-naviguez-sur-internet/6007331-controlez-l-information-trouvee
5870206	1	5870213	1	detectez-les-tentatives-d-hameconnage	Détectez les tentatives d’hameçonnage		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/5870213-detectez-les-tentatives-d-hameconnage
5870206	1	6563666	2	reconnaissez-les-e-mails-indesirables-ou-dangereux	Reconnaissez les e-mails indésirables ou dangereux		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563666-reconnaissez-les-e-mails-indesirables-ou-dangereux
5870206	1	6563667	3	naviguez-sur-internet-en-toute-securite	Naviguez sur Internet en toute sécurité		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563667-naviguez-sur-internet-en-toute-securite
5870206	2	6563676	1	maitrisez-vos-donnees-personnelles-et-vos-informations-de-navigation	Maîtrisez vos données personnelles et vos informations de navigation		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563676-maitrisez-vos-donnees-personnelles-et-vos-informations-de-navigation
5870206	2	6563677	2	utilisez-des-mots-de-passe-robustes	Utilisez des mots de passe robustes		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563677-utilisez-des-mots-de-passe-robustes
5870206	2	6563678	3	protegez-votre-vie-privee-en-ligne	Protégez votre vie privée en ligne		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563678-protegez-votre-vie-privee-en-ligne
5870206	2	6563679	4	soignez-votre-e-reputation	Soignez votre e-réputation		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563679-soignez-votre-e-reputation
5870206	3	6563680	1	chiffrez-vos-donnees-si-necessaire	Chiffrez vos données si nécessaire		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563680-chiffrez-vos-donnees-si-necessaire
5870206	3	6563681	2	protegez-votre-ordinateur	Protégez votre ordinateur		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563681-protegez-votre-ordinateur
5870206	3	6563682	3	respectez-quelques-precautions	Respectez quelques précautions		https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique/6563682-respectez-quelques-precautions
