path_id	project_id	project_number	project_name	project_title	project_description	project_duration_hours	project_illustration	project_url
143	0	6		Évaluez les compétences et les leviers de motivation de bénéficiaires	Le travail d'analyse des compétences et des valeurs d'une personne constitue une étape clé dans son accompagnement. Apprenez à effectuer toutes les étapes de ce bilan.	50		
143	0	7		Préparez une personne à la recherche d'emploi par une approche compétences	À partir d'un bilan de compétences, aidez un bénéficiaire à travailler sur ses outils de recherche d'emploi afin qu'il accède au poste qui lui correspond.	30		
143	0	8		Étudiez la faisabilité d'un projet et co-déterminez le plan de formation	Étudiez un projet de reconversion, et aidez la personne accompagnée à rechercher une formation et des financements.	50		
143	0	9		Concevez un atelier sur les métiers émergents	Concevez de A à Z un atelier pour faire découvrir à vos bénéficiaires les métiers émergents.	60		
143	0	10		Gérez des situations difficiles et de blocage dans l'accompagnement des bénéficiaires	En tant que CEP, vous pouvez faire face à des situations délicates. Intervenez de manière adaptée pour assurer un accompagnement de qualité à tous !	60		
125	0	1		Démarrez votre parcours de Chef de projet SI	Découvrez le métier de Chef de projet SI dans ce premier projet et organisez votre formation en ligne efficacement pour assurer votre réussite !	20		
125	0	2		Répondez à un besoin client	Proposez une solution SI adaptée et formulez un cahier des charges fonctionnel répondant au besoin de votre client.	70		
125	0	3		Traduisez un besoin client en spécifications techniques	Face à un cahier des charges fonctionnel, proposez différents scénarios techniques et aidez le client à choisir une solution adaptée. Rédigez ensuite les spécifications techniques de cette solution !	80		
125	0	4		Gérez un projet SI	Suite à un appel d'offre, évaluez les répondants et déterminez les ressources nécessaires à votre projet pour en garantir le succès !	70		
125	0	5		Assurez la qualité d'un projet SI	Vous serez en charge de produire des indicateurs de qualité et une analyse d'un nouveau processus au sein de votre SI.	90		
125	0	6		Créez un nouveau service au sein du SI	Suite au rachat d'une PME par votre entreprise, vous êtes sollicité pour analyser et proposer un plan d'urbanisation des SI en y incorporant les nouveaux services.	100		
125	0	7		Contribuez à la stratégie du SI	Vous êtes chargé de proposer des projets innovants et durables pour une entreprise hôtelière, tout en respectant les lignes directrices de sa stratégie à venir.	80		
125	0	8		Garantissez l'intégrité du SI	Votre DSI vous charge de l'étude d'un projet de migration Cloud du système RH de votre entreprise. Analysez les risques et assurez l'intégrité de votre SI.	90		
125	0	9		Aidez votre équipe à gagner en agilité	Accompagnez la restructuration de votre équipe vers une méthodologie Agile en leur proposant un plan d'action adapté à leurs besoins.	100		
125	0	10		Amorçez une politique qualité au sein de la DSI	Vous faites partie du pilotage de la nouvelle politique qualité de votre entreprise et devez faciliter les changements liés à cette politique au sein de votre service IT.	100		
125	0	11		Mettez en œuvre vos compétences de chef de projet SI sur le terrain	Pour valider votre formation, vous devez effectuer une période d’application en entreprise de 4 mois (16 semaines) afin de mettre en pratique vos compétences de chef de projet SI.	560		
102	0	1		Démarrez votre formation de Responsable en sécurité des Systèmes d'information	Dans ce projet, vous préparez votre méthodologie d'apprentissage en ligne en réalisant un plan.	10		
102	0	2		24h dans la peau d'un Responsable en sécurité des Systèmes d'information	A partir de témoignages, vous découvrirez les missions au quotidien d'un RSSI et commencerez à clarifier votre projet professionnel	10		
102	0	3		Sécurisez l'infrastructure SI d'une entreprise	A partir de la description de la SI d'une entreprise et de la feuille de route RSSI, vous proposerez une architecture SI sécurisée.	50		
102	0	4		Sécurisez une application du SI	Afin d'aider votre entreprise à réaliser une application web sécurisée pour accéder à son SI existant, vous proposerez la liste des vulnérabilités et rédigerez votre proposition pour présenter votre solution technique.	50		
102	0	5		Auditez la sécurité SI de l'entreprise	A partir de l'architecture SI de l'entreprise et de la politique SSI, vous proposerez un plan d'audit de sécurité contenant un audit externe et un audit interne.	60		
102	0	6		Mettez en place la surveillance de la sécurité SI	A partir de l'architecture Si d'une entreprise, vous proposerez une architecture de surveillance SI, ses règles et des procédures de traitement d'alertes.	50		
102	0	7		Investiguez un incident de sécurité	A partir de logs réseau, systèmes et applicatifs, vous effectuerez une analyse forensique pour détecter les attaques qui ont été menées et rédigerez un rapport d'incident qui évalue l'impact des attaques SI.	60		
102	0	8		Créez et présentez votre CV pour un entretien	Dans ce projet, vous réalisez votre CV pour rechercher votre stage ou votre premier job dans la sécurité des SI !	10		
102	0	9		Gérez le risque SI d'une organisation	A partir des informations métier et organisationnelles d'une entreprise, du contexte des menaces et des obligations légales, vous identifierez les menaces sur la sécurité SI et évaluerez l'impact des attaques pour proposer une politique de sécurité.	90		
102	0	10		Réalisez une veille sur les menaces et les solutions	Réalisez une veille technologique sur les vulnérabilités, les attaques et la réglementation, et rédigez un rapport de veille en évaluant des produits de sécurité du marché.	10		
102	0	11		Réalisez un stage (ou une mission en entreprise) dans la sécurité des systèmes d'information	Pour valider votre formation, vous allez devoir effectuer un stage de 6 mois (20 à 26 semaines) afin de mettre en pratique vos compétences de futurs Responsable en sécurité des systèmes d'information.	735		
319	0	1		Découvrez votre parcours de Technicien(ne) informatique	Vous embarquez sur un grand parcours d'apprentissage ! Préparez votre formation avec les outils et les bonnes pratiques dont vous aurez besoin tout au long de vos projets et de vos cours.	20		
319	0	2		Assemblez l’ordinateur idéal pour votre client	Vous travaillez dans une boutique de réparation d'ordinateurs et vous devez proposer un devis à un client pour un PC sur-mesure répondant à son besoin, puis préparer l'assemblage.	30		
319	0	3		Déployez le parc informatique d’une start-up	Vous acceptez une mission en freelance pour accompagner le développement d'une start-up. Vous allez installer et mettre à jour des OS Windows et Linux et réparer un poste défectueux.	60		
319	0	4		Faites évoluer le parc informatique d'une PME	Dans le cadre d'une mission client confiée par votre ESN, vous allez simuler l'architecture réseau avec Packet Tracer et configurer une machine cliente avec les logiciels demandés.	60		
319	0	5		Fournissez un support aux utilisateurs	En tant que technicien HelpDesk, vous allez assister les utilisateurs avec un outils efficace de gestion des tickets, dans le respect des SLA et de la charte informatique de l'entreprise.	60		
319	0	6		Gérez un parc informatique au quotidien	Au sein d'une petite DSI, vous devez maintenir l'inventaire du parc informatique de l'entreprise avec un outil efficace tout en anticipant les demandes de support et en gérant les fournisseurs.	70		
319	0	7		Créez des services partagés en entreprise et automatisez des tâches	Vous devez installer un Serveur Windows dans une entreprise, avec ses principaux services (AD, DHCP et DNS) et vous automatisez certaines tâches.	70		
319	0	8		Réalisez un stage en entreprise ou une mission en bénévolat	Grâce à votre compréhension de l'activité d'une structure, à votre veille technologie et à vos connaissances, faites des propositions pour améliorer un parc informatique et rédigez un rapport.	70		
406	0	1		Démarrez votre parcours d'Administrateur Systèmes et Réseaux	Dans ce monde en évolution, il est plus important que jamais d'apprendre à apprendre. Devenez un apprenant actif et autonome, donnez-vous toutes les chances de réussir votre formation et de construire votre future carrière.	20		
406	0	2		Mettez en place le réseau d'une startup	Créez le réseau LAN d'une entreprise en IPv4, et répartissez les switchs en fonction de la capacité de chaque salle.	50		
406	0	3		Gérez au quotidien les demandes	Dans ce projet, gérez et priorisez les demandes des utilisateurs en prenant les mesures nécessaires pour y répondre. Vous utiliserez GLPI et le référentiel ITIL.	80		
406	0	4		Mettez en place une architecture n-tiers pour une PME	Mettez en place un serveur web, un serveur SQL et un serveur DNS via une architecture 3-tiers pour une startup.	70		
406	0	5		Mettez en place un serveur web	Vous avez rejoint une société financière et êtes chargé de concevoir et déployer la nouvelle infrastructure sécurisée qui hébergera le tout nouveau site extranet de l'entreprise.	60		
406	0	6		Gérez les postes de travail d'une entreprise	En tant qu’administrateur systèmes et réseaux junior dans une entreprise bancaire, vous allez gérer les postes de travail des nouveaux locaux, et les intégrer au système informatique.	100		
406	0	7		Configurez des services réseaux et des équipements d'interconnexion	Mettez en place le réseau de plusieurs bâtiments pour une entreprise. Faites le plan d’adressage IPv4 et IPv6, mettez en place des VLAN et des services réseaux.	80		
406	0	8		Supervisez le SI d'une entreprise	La PME MediaSanté, une société spécialisée dans les données de santé, a régulièrement des ralentissements de ses serveurs web. Elle souhaite donc en installer un nouveau, et placer des sondes afin d’anticiper les potentiels manques de ressources.	70		
406	0	9		Mettez en place une nouvelle solution de sauvegarde	Vous êtes administrateur systèmes et réseaux à la mairie de Mareuil-sur-Oise, en charge d’un projet de recherche et développement sur l’outil de sauvegarde rsync.	80		
406	0	10		Réalisez un audit de sécurité pour un client	Vous êtes auditeur technique en freelance en mission pour une ONG. Dans ce projet, apprenez à sécuriser le système d’exploitation d’un serveur web en mettant en pratique les recommandations de l’ANSSI.	70		
406	0	11		Sécurisez le réseau d'une grande entreprise	Sécuriser l’architecture réseau d’une entreprise en mettant en pratique les recommandations de l’ANSSI.	80		
406	0	12		Pilotez un projet SI	Lancez un projet d’amélioration d’une plateforme SaaS. Vous allez structurer et planifier le projet, puis le présenterez à votre équipe.	40		
