path_id	project_id	project_number	course_id	href
218	0	1	5944991	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
218	0	1	6067991	https://openclassrooms.com/fr/courses/6067991-realisez-une-etude-de-marche
218	0	1	5191526	https://openclassrooms.com/fr/courses/5191526-realisez-votre-business-model-canvas
218	0	1	5454886	https://openclassrooms.com/fr/courses/5454886-creez-et-appliquez-une-charte-graphique
218	0	2	3013816	https://openclassrooms.com/fr/courses/3013816-initiez-vous-au-marketing-digital
218	0	2	5725346	https://openclassrooms.com/fr/courses/5725346-animez-vos-reseaux-sociaux
218	0	2	4750821	https://openclassrooms.com/fr/courses/4750821-initiez-vous-aux-techniques-commerciales
218	0	3	5191546	https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan
218	0	3	5177201	https://openclassrooms.com/fr/courses/5177201-choisissez-le-statut-juridique-adapte-a-votre-activite
218	0	3	4929811	https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel
218	0	4	6380896	https://openclassrooms.com/fr/courses/6380896-pilotez-une-prospection-commerciale-efficace
218	0	4	4577696	https://openclassrooms.com/fr/courses/4577696-prenez-la-parole-en-public
218	0	4	6391716	https://openclassrooms.com/fr/courses/6391716-reussissez-vos-rendez-vous-commerciaux
218	0	4	5489551	https://openclassrooms.com/fr/courses/5489551-creez-un-site-moderne-et-professionnel-avec-wordpress-5
218	0	4	3013891	https://openclassrooms.com/fr/courses/3013891-ameliorez-limpact-de-vos-presentations
218	0	5	4801106	https://openclassrooms.com/fr/courses/4801106-initiez-vous-a-la-comptabilite
218	0	5	5149176	https://openclassrooms.com/fr/courses/5149176-gerez-votre-tresorerie
218	0	5	4963261	https://openclassrooms.com/fr/courses/4963261-realisez-des-reportings-et-des-budgets-pour-convaincre
218	0	5	5191526	https://openclassrooms.com/fr/courses/5191526-realisez-votre-business-model-canvas
106	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
106	0	1	5218141	https://openclassrooms.com/fr/courses/5218141-construisez-votre-projet-professionnel
106	0	1	5218221	https://openclassrooms.com/fr/courses/5218221-elaborez-votre-strategie-de-recherche-demploi
106	0	1	4805776	https://openclassrooms.com/fr/courses/4805776-mettez-en-place-un-systeme-de-veille-informationnelle
106	0	2	3013816	https://openclassrooms.com/fr/courses/3013816-initiez-vous-au-marketing-digital
106	0	2	4683376	https://openclassrooms.com/fr/courses/4683376-realisez-un-audit-marketing
106	0	2	4750821	https://openclassrooms.com/fr/courses/4750821-initiez-vous-aux-techniques-commerciales
106	0	2	5191526	https://openclassrooms.com/fr/courses/5191526-realisez-votre-business-model-canvas
106	0	2	3013891	https://openclassrooms.com/fr/courses/3013891-ameliorez-limpact-de-vos-presentations
106	0	3	4801106	https://openclassrooms.com/fr/courses/4801106-initiez-vous-a-la-comptabilite
106	0	3	4963261	https://openclassrooms.com/fr/courses/4963261-realisez-des-reportings-et-des-budgets-pour-convaincre
106	0	3	4929811	https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel
106	0	4	4539151	https://openclassrooms.com/fr/courses/4539151-elaborez-un-plan-de-recrutement
106	0	4	4539261	https://openclassrooms.com/fr/courses/4539261-selectionnez-les-meilleurs-candidats
106	0	4	4539271	https://openclassrooms.com/fr/courses/4539271-integrez-vos-nouveaux-collaborateurs
106	0	4	4581041	https://openclassrooms.com/fr/courses/4581041-gerez-la-relation-de-travail
106	0	5	5341341	https://openclassrooms.com/fr/courses/5341341-appliquez-une-demarche-de-sante-et-securite-au-travail
106	0	5	4539321	https://openclassrooms.com/fr/courses/4539321-deployez-une-demarche-de-gpec
106	0	6	5258771	https://openclassrooms.com/fr/courses/5258771-adoptez-une-demarche-qualite-hygiene-securite-environnement
106	0	6	5746621	https://openclassrooms.com/fr/courses/5746621-exercez-votre-activite-professionnelle-avec-ethique
106	0	6	4577696	https://openclassrooms.com/fr/courses/4577696-prenez-la-parole-en-public
106	0	7	4104731	https://openclassrooms.com/fr/courses/4104731-developpez-votre-leadership-pour-mieux-diriger
106	0	7	5164316	https://openclassrooms.com/fr/courses/5164316-travaillez-efficacement-en-equipe
106	0	7	4727076	https://openclassrooms.com/fr/courses/4727076-apprenez-a-gerer-les-conflits
106	0	7	4934581	https://openclassrooms.com/fr/courses/4934581-managez-une-equipe-au-quotidien
106	0	7	4791596	https://openclassrooms.com/fr/courses/4791596-adaptez-votre-management-au-contexte-de-votre-organisation
106	0	8	4752336	https://openclassrooms.com/fr/courses/4752336-structurez-la-communication-interne-de-votre-entreprise
106	0	8	4929676	https://openclassrooms.com/fr/courses/4929676-redigez-des-ecrits-professionnels
106	0	9	4296701	https://openclassrooms.com/fr/courses/4296701-gerez-un-projet-digital-avec-une-methodologie-en-cascade
106	0	9	5191546	https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan
106	0	9	6067991	https://openclassrooms.com/fr/courses/6067991-realisez-une-etude-de-marche
106	0	10	3605631	https://openclassrooms.com/fr/courses/3605631-reussir-son-stage
341	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
341	0	1	4750821	https://openclassrooms.com/fr/courses/4750821-initiez-vous-aux-techniques-commerciales
341	0	1	4698761	https://openclassrooms.com/fr/courses/4698761-developpez-votre-personal-branding
341	0	1	4805776	https://openclassrooms.com/fr/courses/4805776-mettez-en-place-un-systeme-de-veille-informationnelle
341	0	1	3013891	https://openclassrooms.com/fr/courses/3013891-ameliorez-limpact-de-vos-presentations
341	0	2	6380896	https://openclassrooms.com/fr/courses/6380896-pilotez-une-prospection-commerciale-efficace
341	0	2	3013816	https://openclassrooms.com/fr/courses/3013816-initiez-vous-au-marketing-digital
341	0	2	4929811	https://openclassrooms.com/fr/courses/4929811-maitrisez-les-fondamentaux-dexcel
341	0	2	5944991	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
