src_course_id	src_chapter_id	relation	tgt_course_id	tgt_chapter_id	href
5164356	5346351	references	4750821	4761981	https://openclassrooms.com/courses/initiez-vous-aux-techniques-commerciales/definissez-votre-pitch-commercial
5164356	5346471	references	4111506	0	https://openclassrooms.com/courses/rediger-son-cv-efficace
5164356	5346471	references	4116276	0	https://openclassrooms.com/courses/rediger-des-lettres-de-motivation-ciblees
5164356	5346596	references	3013816	0	https://openclassrooms.com/courses/initiez-vous-au-marketing-digital
5164356	5346896	references	3013816	0	https://openclassrooms.com/courses/initiez-vous-au-marketing-digital/determinez-un-plan-d-action-et-des-indicateurs-de-suivi
5164356	5367831	references	4296701	4303781	https://openclassrooms.com/courses/gerez-un-projet-digital-avec-une-methodologie-en-cascade/redigez-votre-proposition-commerciale
6391716	6391723	references	6391586	0	https://openclassrooms.com/fr/courses/6391586-utilisez-un-crm-dans-votre-activite-de-commercial
6391716	6391723	references	6380896	0	https://openclassrooms.com/fr/courses/6380896-pilotez-une-prospection-commerciale-efficace
6391716	6633461	references	4750821	4761981	https://openclassrooms.com/fr/courses/4750821-initiez-vous-aux-techniques-commerciales/4761981-definissez-votre-pitch-commercial
6391716	6633686	references	4805776	4806081	https://openclassrooms.com/fr/courses/4805776-mettez-en-place-un-systeme-de-veille-informationnelle/4806081-organisez-une-veille-informationnelle-efficace-en-3-etapes
6391716	6633876	references	6391586	0	https://openclassrooms.com/fr/courses/6391586-utilisez-un-crm-dans-votre-activite-de-commercial
4781491	5480536	references	3829076	0	https://openclassrooms.com/fr/courses/3829076-lancez-une-campagne-facebook-ads
4781491	5480546	references	3013736	0	https://openclassrooms.com/fr/courses/3013736-comprenez-votre-audience-avec-google-analytics
2954186	0	requires	3044291	0	https://openclassrooms.com/courses/decodez-l-adn-de-l-innovateur
2954186	3669681	references	3044291	3090161	https://openclassrooms.com/courses/decodez-l-adn-de-l-innovateur/l-exemple-d-une-joaillerie-en-ligne-adamence
2954186	6785116	references	2954186	0	https://openclassrooms.com/courses/developpez-votre-projet-innovant/l-exemple-de-sweetch
2954186	6785161	references	3044291	3090161	https://openclassrooms.com/courses/decodez-l-adn-de-l-innovateur/l-exemple-d-une-joaillerie-en-ligne-adamence
6916261	7117886	references	4577696	0	https://openclassrooms.com/fr/courses/4577696-prenez-la-parole-en-public
6916261	7117886	references	5164316	5318551	https://openclassrooms.com/fr/courses/5164316-travaillez-efficacement-en-equipe/5318551-mobilisez-lecoute-active-et-la-communication-positive#r-5499856
6916261	7120226	references	5164316	5266771	https://openclassrooms.com/fr/courses/5164316-travaillez-efficacement-en-equipe/5266771-animez-des-reunions-efficaces-et-agiles
6916261	7120226	references	5164316	5266711	https://openclassrooms.com/fr/courses/5164316-travaillez-efficacement-en-equipe/5266711-acceptez-les-critiques-et-maitrisez-les-feedbacks#/id/r-5290762
6916261	7120226	references	6510596	7045593	https://openclassrooms.com/fr/courses/6510596-developpez-votre-sens-du-service/7045593-donnez-des-feedbacks-et-recevez-en-en-retour#/id/r-7045592
6916261	7120226	references	5944991	0	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
3199026	0	references	1946116	0	https://openclassrooms.com/courses/avoir-l-audace-d-entreprendre
7080836	7174286	references	5870206	0	https://openclassrooms.com/fr/courses/5870206-decouvrez-les-bases-de-la-securite-numerique
7080836	7174312	references	7080836	7174327	https://openclassrooms.com/fr/courses/7080836-teletravaillez-efficacement/7174327-adaptez-l-organisation-de-votre-travail?status=draft
7080836	7174312	references	5164316	5310821	https://openclassrooms.com/fr/courses/5164316-travaillez-efficacement-en-equipe/5310821-gerez-votre-temps-et-votre-motivation
7080836	7174312	references	5944991	0	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
6417031	6822141	references	6417031	6823501	https://openclassrooms.com/fr/courses/6417031-objectif-ia-initiez-vous-a-lintelligence-artificielle/6823501-initiez-vous-aux-fondamentaux-du-machine-learning-ou-apprentissage-automatique?status=draft
6417031	6822141	references	6417031	6823506	https://openclassrooms.com/fr/courses/6417031-objectif-ia-initiez-vous-a-lintelligence-artificielle/6823506-apprehendez-le-deep-learning-ou-apprentissage-profond?status=draft
6417031	6823501	references	4011851	0	https://openclassrooms.com/fr/courses/4011851-initiez-vous-au-machine-learning
6417031	6823506	references	5801891	0	https://openclassrooms.com/fr/courses/5801891-initiez-vous-au-deep-learning
6417031	6822221	references	4011851	0	https://openclassrooms.com/fr/courses/4011851-initiez-vous-au-machine-learning
6417031	6822221	references	4525266	0	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees
