topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
5	410	architecte-logiciel-1		Architecte Logiciel	Devenez un expert dans le développement logiciel en concevant des solutions complexes.	fr	Diplôme niveau 7 (Bac+5)	15	0		https://oc-static.imgix.net/prod/images/paths/illustrations/410/16143583320342_DEVELOPMENT_software_architecht.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/410-architecte-logiciel-1	https://www.francecompetences.fr/recherche/rncp/34979
5	500	developpeur-dapplication-php-symfony		Développeur d'application - PHP/Symfony	Devenez développeur et constituez votre portfolio en réalisant des applications avec PHP.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/500/1633354415972_DEV_SYMPHONY.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/500-developpeur-dapplication-php-symfony	https://www.francecompetences.fr/recherche/rncp/35976/
5	501	developpeur-dapplication-ios		Développeur d'application - iOS	Découvrez le développement iOS et réalisez des applications taillées pour l'iPhone et l'iPad !	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/501/16333570719518_15598102134014_DEV_IOS_full%202.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/501-developpeur-dapplication-ios	https://www.francecompetences.fr/recherche/rncp/35976/
5	511	developpeur-dapplication-android		Développeur d'application - Android	Devenez développeur et réalisez vos applications pour Android.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/511/1633355843668_DEV_Android.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/511-developpeur-dapplication-android	https://www.francecompetences.fr/recherche/rncp/35976/
5	512	developpeur-salesforce-1		Développeur Salesforce	Préparez votre certification de développeur Salesforce et codez en Apex pour construire des applications.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/512/16333575663709_15578465869342_Salesforce.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/512-developpeur-salesforce-1	https://www.francecompetences.fr/recherche/rncp/35976/
5	513	developpeur-dapplication-java		Développeur d'application - Java	Devenez développeur d'applications avec Java, l'un des langages les plus utilisés au monde.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/513/16333565719202_15713865751072_DEV_JAVA.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/513-developpeur-dapplication-java	https://www.francecompetences.fr/recherche/rncp/35976/
5	516	developpeur-front-end-1		Développeur d'application - JavaScript React	Réalisez des projets web de A à Z et spécialisez-vous dans l'optimisation des interfaces de vos sites.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/516/16333559956358_15984530917194_15435992831411_path61.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/516-developpeur-front-end-1	https://www.francecompetences.fr/recherche/rncp/35976/
5	518	developpeur-dapplication-python-1		Développeur d'application - Python	Construisez des applications web en utilisant le langage de programmation Python et le framework Django.	fr	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/518/16333569400875_DEV_Python.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/518-developpeur-dapplication-python-1	https://www.francecompetences.fr/recherche/rncp/35976/
6	163	product-manager-3		Product Manager	Devenez la voix du client et l'interface entre les équipes design, techniques et business.	fr	Diplôme niveau 7 (Bac+5)	12	0	 Efficom Lille	https://oc-static.imgix.net/prod/images/paths/illustrations/163/1545217126403_PRODUCT_MGMT-2.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/163-product-manager-3	https://www.certificationprofessionnelle.fr/recherche/rncp/34394
6	538	chef-de-projet-digital-1		Chef de projet digital	Coordonnez des équipes pluridisciplinaires dans la réalisation de projets numériques.	fr	Certification OpenClassrooms	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/538/16364840115693_PROJECTMGMT_DIGITAL.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/538-chef-de-projet-digital-1	
8	80	responsable-marketing-operationnel		Responsable marketing opérationnel et communication	Devenez garant du bon déroulement de la stratégie marketing de votre organisation.	fr	Diplôme niveau 6 (Bac+3/4)	12	0	 Efficom Lille	https://oc-static.imgix.net/prod/images/paths/illustrations/MARKETING_OPERATIONALCOMMUNICATIONS.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/80-responsable-marketing-operationnel	https://www.certificationprofessionnelle.fr/recherche/rncp/28763
